property,location_area,property_location,total_price,area(sq-ft),price(sqft),face,outside_view,lat,long_,property_link,property_img_link,property_description
"Plot for Sale in Sirsi Road, Jaipur",sirsi road, sirsi road,8000000,1800,4444,,garden view,,,https://www.squareyards.com/resale-200-sq-yd-plot-in-manglams-balaji-city/9864498,https://img.squareyards.com/secondaryPortal/optImages/IN_639051949000884539-280126110140140.jpg?aio=w-360;h-250;crop;,"This property on Sirsi Road in Jaipur presents a compelling investment opportunity with its prime location and association with a reputed builder.Spanning 200 Square Yards, this plot offers ample space for construction in a well-ventilated environment.The added benefit of a Park View enhances its desirability, promising a pleasant living or commercial space.For those prioritizing peace of mind, the locality is"
"Plot for Sale in Balawala, Jaipur",other, balawala,2400000,900,2666,east facing,garden view,26.75046215,75.73649023,https://www.squareyards.com/resale-100-sq-yd-plot-in-balawala/9136232,https://img.squareyards.com/secondaryPortal/IN_638925137931625890-0309250429532953.jpg?aio=w-360;h-250;crop;,"Find your perfect spot in Balawala, Jaipur, with this 100 square yard plot available for sale at 24 lakh.This plot offers a refreshing garden view and comes with access to family-friendly amenities like kids` play areas and a jogging/cycle track, all within a secure environment featuring CCTV surveillance. Its a great chance to build your home or invest in a"
"Plot for Sale in Bhambhoriya, Jaipur",ajmer road, bhambhoriya,4301000,1035,4155,,road view,26.821754,75.634613,https://www.squareyards.com/resale-115-sq-yd-plot-in-bhambhoriya/9820069,https://img.squareyards.com/secondaryPortal/optImages/IN_639045048977940726-2001261121372137.jpg?aio=w-360;h-250;crop;,"Located in the growing Bhambhoriya area of Jaipur, plot number 22 offers 115 square yards of space with a desirable road view, perfect for those looking to build their dream home or establish a commercial presence.This plot is priced at 43.01 lakh and comes with the advantage of an attached market, a pre-school, ATM facilities, and CCTV surveillance, ensuring convenience"
"Plot for Sale in Neota, Jaipur",neota, neota,3000000,900,3333,east facing,road view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-vrb-amber/9649619,https://img.squareyards.com/secondaryPortal/IN_639016681773577168-1812250322572257.jpg?aio=w-360;h-250;crop;,"A 100 square yard plot in Neota, Jaipur, offers a fantastic road view and is listed for 3000 crore, presenting a significant investment opportunity or the ideal location for your future residence.This plot, number 34, is situated in a safe and secure locality with wide roads, making it easy to access and a peaceful place to build. You will find"
"Plot for Sale in Jagatpura, Jaipur",jagatpura, jagatpura,4500000,2718,1655,south facing,garden view,26.7615101,75.8921754,https://www.squareyards.com/resale-302-sq-yd-plot-in-jagatpura/9772348,https://img.squareyards.com/secondaryPortal/optImages/IN_639038356306887195-1201260527102710.jpg?aio=w-360;h-250;crop;,Park facing residential plot for sale in JDA approved colony Parth Nagar. This is from a prime location Jagatpura in Jaipur. Site plan is attached for the plot in D block.
"Plot for Sale in Shivdaspura, Jaipur",shivdaspura, shivdaspura,6675000,1719,3883,east facing,road view,26.72412926,75.92309754,https://www.squareyards.com/resale-191-sq-yd-plot-in-shivdaspura/9626561,https://img.squareyards.com/secondaryPortal/IN_639014039448076943-151225015904594.jpg?aio=w-360;h-250;crop;,Best opportunity Investment ya residential jda approvad plots Jagatpura extension Ganesh vihar vistar Tonk Road before shivdaspura toll plaza 26.565
"Plot for Sale in Tonk Road, Jaipur",tonk road, tonk road,9627000,2169,4438,,garden view,,,https://www.squareyards.com/resale-241-sq-yd-plot-in-laxminaryan-vatika-ii/9858117,https://img.squareyards.com/secondaryPortal/optImages/IN_639051171960068959-2701260126362636.jpg?aio=w-360;h-250;crop;,"This 241 square yard plot at Tonk Road, Jaipur, presents a wonderful chance for families seeking to build their ideal home or for investors aiming for strong future returns.Priced at 96.27 lakh, this property offers a refreshing garden view, creating a peaceful setting for daily life.Residents will appreciate the convenience of 24x7 security, maintenance staff, and CCTV surveillance, ensuring a"
"Plot for Sale in Diggi Road, Jaipur",diggi road, diggi road,2659000,1017,2614,east facing,garden view,26.8018405,75.77791,https://www.squareyards.com/resale-113-sq-yd-plot-in-the-knowledge-park/9706576,https://img.squareyards.com/secondaryPortal/IN_639026074207584509-291225121700170.jpg?aio=w-360;h-250;crop;,"This 113 Square Yards plot on Diggi Road, priced at 26.59 Lac, offers a park view and is located in plot number 311, a prime location known for being safe and secure.This property is available for a desperate sale and includes amenities such as an attached market, 24 x 7 security with security staff, a clubhouse, visitor's parking, a food"
"Plot for Sale in Shivdaspura, Jaipur",shivdaspura, shivdaspura,2890000,900,3211,,,26.74743345,75.92596617,https://www.squareyards.com/resale-100-sq-yd-plot-in-shivdaspura/9578856,https://img.squareyards.com/secondaryPortal/IN_639008812692321913-0912251247494749.png?aio=w-360;h-250;crop;,"Find your ideal spot in Shivdaspura, Jaipur, with this 100 Square Yards plot now available for sale at just 28.9 Lac. This property is perfect for anyone looking for a smart investment with the potential for high rental yields in a safe and secure locality.You will appreciate the wide road access making it convenient to build your dream home or a"
"Plot for Sale in Sirsi Road, Jaipur",sirsi road, sirsi road,3290000,900,3655,,,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-shyamashish-sinwar-city/9797681,https://img.squareyards.com/secondaryPortal/optImages/IN_639040897982379646-150126040318318.jpg?aio=w-360;h-250;crop;,"A 100 Square Feet plot is available for sale on Sirsi Road in Jaipur, offering a chance to invest in a developing area.This plot comes with the convenience of Kids Play Areas and 24 x 7 Security, making it a well-rounded choice for families or individuals looking for a secure environment.The price for this property is 32.9 Lac.Its location on"
"Plot for Sale in Tonk Road, Jaipur",tonk road, tonk road,10600000,1800,5888,east facing,water view,,,https://www.squareyards.com/resale-200-sq-yd-plot-in-sanjeevni-aagan/9362168,https://img.squareyards.com/secondaryPortal/IN_638972902288637238-281025111708178.jpg?aio=w-360;h-250;crop;,"A compelling opportunity awaits astute investors and aspiring homeowners on Tonk Road in Jaipur with plots numbered 1 to 200, each offering a generous 200 square  of prime real estate for 1.06 crore. This is more than just land it is a chance to invest in a location known for its vibrant atmosphere and potential for growth, ensuring that your"
"Plot for Sale in Shivdaspura, Jaipur",shivdaspura, shivdaspura,14000000,3600,3888,west facing,garden view,26.711423,75.896013,https://www.squareyards.com/resale-400-sq-yd-plot-in-shivdaspura/9308281,https://img.squareyards.com/secondaryPortal/IN_639010612055250300-1112250246454645.jpg?aio=w-360;h-250;crop;,"For those looking to invest wisely, this 400 Square Feet plot in Shivdaspura, Jaipur, is a compelling choice at 1.4 Cr. Situated in a prime location, this plot boasts a pleasant garden view and is part of a gated society that offers 24 x 7 security, ensuring peace of mind for you and your family.The wide roads leading to the property"
"Plot for Sale in Jaipur Ajmer Express Highway, Jaipur",ajmer road, jaipur ajmer express highway,4101000,999,4105,south facing,road view,26.91243347,75.78727081,https://www.squareyards.com/resale-111-sq-yd-plot-in-jaipur-ajmer-express-highway/9425475,https://img.squareyards.com/secondaryPortal/IN_638982814791149518-0911251037593759.jpg?aio=w-360;h-250;crop;,One Of The Best Property In Near By Manipal University Please visit soon so that you don`t miss the opportunity to live in this beautiful township. Project Name - Unnatii Green Valley All Facilities Available Visit Now Fast
"Plot for Sale in Basri Jogiyan, Jaipur",other, basri jogiyan,2750000,900,3055,east facing,garden view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-eco-park/9349193,https://img.squareyards.com/secondaryPortal/IN_638971086866926238-2610250851265126.jpeg?aio=w-360;h-250;crop;,"Gokul Kripa  Trusted Real Estate SolutionsNo Brokerage, No Registry Charges.90% Loanable of the property value at the lowest interest rates.Amenities* Grand entry gate with boom barrier & CCTV surveillance* Community hall, temple, open-air theatre & landscaped parks for social and spiritual gatherings* Outer boundary with wire fencing for enhanced security* OHSR & CWR for reliable water storage and supply*"
"Plot for Sale in Manohariya Wala, Jaipur",other, manohariya wala,5800000,900,6444,north east facing,road view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-the-ring-niketan-commercial/9674830,https://img.squareyards.com/secondaryPortal/IN_639020823135497415-2312251025132513.jpg?aio=w-360;h-250;crop;,"A 100 square yard plot numbered 11 in Manohariya Wala, Jaipur, is available for sale at 58 lakh, offering a road view and the promise of a luxury lifestyle with its freehold status.This plot is an excellent choice for investors looking for a solid return or for individuals who wish to build their dream home in a desirable location. Its"
"Plot for Sale in Diggi Road, Jaipur",diggi road, diggi road,725000,450,1611,east facing,road view,26.69285238,75.67931056,https://www.squareyards.com/resale-50-sq-yd-plot-in-diggi-road/9560012,https://img.squareyards.com/secondaryPortal/IN_639003673786360256-031225020258258.jpg?aio=w-360;h-250;crop;,"** Govind Nagar, Diggi Road (Rohini Nagar 1st ke Paas)
 Rate: 14,500 per sq. yard
 SOCIETY-Approved Location | Fast Developing Zone**

Govind Nagar, Diggi Road par  ye location Rohini Nagar First ke     ek prime developing zone.
Yahan par 14,500 per gaj ke budget me aapko society-approved, safe aur future-proof investment mil jati hai.
Area me rapid development chal"
"Plot for Sale in Dadu Dayal Nagar, Jaipur",sanganer, dadu dayal nagar,9000000,891,10101,,garden view,26.82576892,75.76119038,https://www.squareyards.com/resale-99-sq-yd-plot-in-dadu-dayal-nagar/9509425,https://img.squareyards.com/secondaryPortal/IN_639004489256539286-041225124205425.png?aio=w-360;h-250;crop;,"Your chance to own a plot in Jaipur Dadu Dayal Nagar is here, offering a generous 99 square yards of land ready for your personal touch. Priced at 90 lakh, this plot presents a fantastic opportunity to build the home you`ve always envisioned or to make a smart investment in a growing area.Dadu Dayal Nagar is known for its peaceful surroundings"
"Plot for Sale in Kalwara, Jaipur",kalwara, kalwara,1695000,900,1883,west facing,garden view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-mahindra-world-city-jaipur/9494512,https://img.squareyards.com/secondaryPortal/IN_638993231941869374-2111251159545954.jpg?aio=w-360;h-250;crop;,Government and RERA APPROVED township Nearby mahindra sahez AJAYRAJPURA... 70% lonable
"Plot for Sale in Ajairajpura, Jaipur",other, ajairajpura,1695000,900,1883,,,26.73789682,75.66153824,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue-ajayrajpura/9494641,https://img.squareyards.com/secondaryPortal/IN_638993233227848234-21112512020222.jpg?aio=w-360;h-250;crop;,"For those looking to invest wisely in Jaipur growing landscape, this 100 Square Yards plot in Ajairajpura presents a compelling prospect for just 16.95 Lac.Imagine designing your perfect home or a profitable venture on this well-sized parcel, ready for your vision to take shape. This is a straightforward chance to acquire land in a developing area, offering flexibility for future"
"Plot for Sale in DelhI-Jaipur Expressway, Jaipur",delhi jaipur expressway, delhi-jaipur expressway,1900000,900,2111,south east facing,road view,27.90621277,76.30758114,https://www.squareyards.com/resale-100-sq-yd-plot-in-delhi-jaipur-expressway/9565713,https://img.squareyards.com/secondaryPortal/IN_639004491182570995-0412251245184518.jpg?aio=w-360;h-250;crop;,"This plot located in Behror, Jaipur, is now available for sale at 19 Lac, offering 100 Square Yards of space.Positioned in a prime location close to the city center with a wide road access and the security of a gated society, this property is ideal for those looking for a smart investment or a place to build their dream home."
"Plot for Sale in Neota, Jaipur",neota, neota,3000000,999,3003,east facing,garden view,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber/9725277,https://img.squareyards.com/secondaryPortal/optImages/IN_639029614022153510-0201260236423642.jpg?aio=w-360;h-250;crop;,"Secure plot number 21 in the tranquil Neota locality of Jaipur, a freehold property within a gated society, available for sale at 30 Lac.This 111 Square Yards plot offers a garden view and is ideally suited for families, with schools conveniently located in the vicinity.Its affordability and desirable location present a practical choice for those looking to build a comfortable"
"Plot for Sale in Renwal Manji, Jaipur",renwal manji, renwal manji,3255000,1395,2333,east facing,road view,26.6877966,75.6789905,https://www.squareyards.com/resale-155-sq-yd-plot-in-balaji-sundarm/9619097,https://img.squareyards.com/secondaryPortal/IN_639012324278068776-1312250220272027.jpeg?aio=w-360;h-250;crop;,"A 155 Square Yards plot in Renwal Manji, Jaipur, is available for a desperate sale at 32.54 Lac, offering a direct Road View and being located in a prime, safe, and secure locality.This plot, number 26, comes with the convenience of Kids' Play Areas, an Attached Market, and 24 x 7 Security, making it an ideal spot for families or"
"Plot for Sale in Shivdaspura, Jaipur",shivdaspura, shivdaspura,7057000,1719,4105,,,26.74743345,75.92596617,https://www.squareyards.com/resale-191-sq-yd-plot-in-ganesh-vihar-vistar/9443633,https://img.squareyards.com/secondaryPortal/IN_638985557232866711-1211250248434843.jpg?aio=w-360;h-250;crop;,"Secure a plot of land in the vibrant city of Jaipur.This 191 square yard property is available for 70.57 lakh, offering a great space to build your future home or a smart investment. Located in Shivdaspura, this plot presents a wonderful opportunity to own a piece of this growing city. You will find this area to be a promising location"
"Plot for Sale in Jagatpura, Jaipur",jagatpura, jagatpura,8200000,1053,7787,east facing,road view,26.80997553,75.89567665,https://www.squareyards.com/resale-117-sq-yd-plot-in-krishna-sarovar-jagatpura/9368621,https://img.squareyards.com/secondaryPortal/IN_638974010108838499-301025060330330.jpg?aio=w-360;h-250;crop;,"Plot Size 20*52.330 feet Road East facing 20 lac ki registry Getted colonyJayshree periwal School, VIT College jagatpura Jaipur Picture yourself waking up to a vibrant Road View from plot number 66 in Jaipur well-connected Jagatpura area, now available for 82 Lac.This generous 117 Square Yards plot offers an incredible canvas for your aspirations, whether you envision a dream home or a smart investment."
"Plot for Sale in Ajmer Road, Jaipur",ajmer road, ajmer road,3600000,900,4000,,road view,26.9287967,75.9651926,https://www.squareyards.com/resale-100-sq-yd-plot-in-the-riyasat-delight/9371910,https://img.squareyards.com/secondaryPortal/IN_638974345606440373-3010250322402240.jpeg?aio=w-360;h-250;crop;,"A 100 square yard plot is for sale in GEELA KI NAGAL, TEH.:- BASSI, JAIPUR, priced at 36 lakh, offering a road view and the security of a gated society. This plot is a freehold property and comes with access to amenities like a swimming pool, kids` play areas, 24 x 7 security, and a pre-school, making it suitable for a"
"Plot for Sale in Kalyanpura, Jaipur",sanganer, kalyanpura,9000000,810,11111,,,,,https://www.squareyards.com/resale-90-sq-yd-plot-in-captain-enclave/9311122,https://img.squareyards.com/secondaryPortal/IN_638971771424637679-2710250352225222.jpg?aio=w-360;h-250;crop;,"Consider this 90 square yards plot in Jaipur Kalyanpura neighborhood, priced at 98 Lac, as your next smart investment. This property boasts a prime location near the city center, offering a peaceful environment within a safe and secure locality that also features a wide road for easy access.Residents will appreciate the array of amenities designed for convenience and a good quality"
"Plot for Sale in Vatika, Jaipur",vatika/vatika road, vatika,3000000,999,3003,east facing,garden view,26.75169415,75.81085749,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-paradise/9454160,https://img.squareyards.com/secondaryPortal/IN_638986583112118712-1311250718311831.jpg?aio=w-360;h-250;crop;,"What a prime location in Vatika, Jaipur, this 111 square yards plot, number 81, is ready for you to build your future on, priced at 30 lakh.This plot offers a delightful park view, bringing a sense of peace and openness to your everyday life. You will also have access to excellent amenities within the development, including kids` play areas for"
"Plot for Sale in Kalwar Road, Jaipur",kalwar road, kalwar road,11200000,1500,7466,,,26.95526829,75.73951744,https://www.squareyards.com/resale-1500-sq-ft-plot-in-kalwar-road/9640570,https://img.squareyards.com/secondaryPortal/IN_639017561515416842-1912250349114911.jpg?aio=w-360;h-250;crop;,"This substantial 1500 square feet plot in Jaipur Kalwar Road area is ready for its next chapter, priced at 112.5 crore.Whether you are envisioning a grand estate or a strategic commercial venture, this spacious plot offers the canvas for your ambitions in a well-connected part of the city. The sheer size of this land provides ample room for extensive development,"
"Plot for Sale in Bhapura, Jaipur",bhapura, bhapura,4600000,1800,2555,east facing,road view,26.8012082,75.6770523,https://www.squareyards.com/resale-200-sq-yd-plot-in-vrb-global-city/9556899,https://img.squareyards.com/secondaryPortal/IN_639002884479968358-021225040727727.jpg?aio=w-360;h-250;crop;,"A fantastic opportunity awaits you in Bhapra, Jaipur, with this 200 square yard plot offering a road view and a chance to build your ideal home.Priced at 46 lakh, this property is located in a safe and secure locality known for its peaceful surroundings and plenty of sunlight. The plot is Vastu compliant, ensuring a harmonious living space. You will"
"Plot for Sale in Kalwar Road, Jaipur",kalwar road, kalwar road,1500000,990,1515,east facing,road view,26.85272595,75.75459078,https://www.squareyards.com/resale-110-sq-yd-plot-in-kalwar-road/9576704,https://img.squareyards.com/secondaryPortal/IN_639008797965481158-0912251223162316.jpg?aio=w-360;h-250;crop;,"Plot B 80 in Kalpana Nagar, Jaipur, offers a wonderful 110 Square Feet space with a road view, available for 15 Lac, presenting a bright investment chance. This plot is situated in a safe and secure locality, making it an ideal spot to build your dream home or for a quick deal, with schools nearby for your children education.You will appreciate"
"Plot for Sale in Jaisinghpura, Jaipur",jaisinghpura, jais,3000000,900,3333,east facing,road view,26.836979,75.699181,https://www.squareyards.com/resale-100-sq-yd-plot-in-jaisinghpura/9364558,https://img.squareyards.com/secondaryPortal/IN_638973461799939340-2910250249394939.jpeg?aio=w-360;h-250;crop;,"Plot number 3 in Jaisinghpura, Jaipur, offers a wonderful chance for you to build your dream home or make a smart investment. Priced at just 30 Lac, this 100 Square Yards plot is situated in a great location with easy access to the city center and a wide road leading to it.You`ll appreciate the community view from this plot, and the"
"Plot for Sale in Diggi Malpura Road, Jaipur",diggid road, diggi malpura road,2380000,999,2382,,road view,26.350354,75.41125,https://www.squareyards.com/resale-111-sq-yd-plot-in-diggi-malpura-road/9489482,https://img.squareyards.com/secondaryPortal/IN_638992501698510564-2011250342494249.jpeg?aio=w-360;h-250;crop;,"A 111 square yards plot on Diggi Malpura Road in Jaipur is now available for a compelling price of 23.8 lakh, offering a pleasant road view.This is a smart step towards securing your financial future and building something significant."
