property_type,property,location_area,location,total_price,price_sqft,area(sq-ft),bhk,bath,has_balcony,area_type,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,floor,furnished_status,property_status,marble_floor,property_link,property_description
 Flat ,"3 BHK Flat for Sale in Patrakar Colony, Jaipur",patrakar colony, Patrakar Colony,4200000,3818,1100,3,3,TRUE,Built-up Area,1,1,0,0,0,0,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1100-sq-ft-apartment-in-balaji-residency-2/9165645,"A pleasant 3-bedroom, 3-bathroom Flats is now available for sale in Patrakar Colony, Jaipur, offering a comfortable 1100 square feet of living space.Priced at 42 lakh, this semi-furnished home is situated on the first floor of a three-story building, boasting a lovely road view from its balcony. The property comes with one dedicated parking spot and benefits from a range"
 Flat ,"2.5 BHK Flat for Sale in Gandhi Path, Jaipur",gandhi path, Gandhi Path,6407000,4299,1490,2.5,2.5,FALSE,Built-up Area,,,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-5-bhk-pooja-room-1490-sq-ft-apartment-in-seven-heaven/8301598,"Discover a remarkable opportunity to own a stunning Flats in the prestigious gated community of Seven Heaven, located in the serene and safe locality of Gandhi Path, Jaipur.This semifurnished 2.5bedroom apartment spans an impressive 1490 square feet and is competitively priced at 64.06 lakh, making it an excellent investment for families seeking a luxury lifestyle or individuals looking to secure"
 Flat ,"3 BHK Flat for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,3800000,3040,1250,3,2,FALSE,Saleable Area,,,1,0,0,0,3,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1250-sq-ft-apartment-in-chordias-atulya/9788268,"Experience city living at its finest in this 3-bedroom, 2-bathroom semi-furnished Flats on Ajmer Road, Jaipur, available for sale at 38 lac. This 1250 square feet home is situated on the 3rd floor of a 7-story building, offering a pleasant road view and a prime location on the main road.Chordias Atulya provides an extensive list of amenities designed for comfort and"
 Flat ,"3 BHK Flat for Sale in Girdharipura, Jaipur",girdharipura, Girdharipura,8000000,5287,1513,3,2,FALSE,Saleable Area,1,,0,0,0,0,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1513-sq-ft-apartment-in-gurukripa-heights/9639333,"A fantastic opportunity awaits in Jaipur Girdharipura locality with this 3-bedroom, 2-bathroom semi-furnished Flats in Gurukripa Heights, available for sale at 80 Lac. Spanning 1513 square feet on the first floor of a 6-story building, this home offers a road view and comes with one dedicated parking space.Built within the last 2 to 4 years, it boasts Vastu compliance and is"
 Flat ,"2 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,4500000,3600,1250,2,2,TRUE,Carpet Area,1,,0,0,0,0,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-1250-sq-ft-apartment-in-jagatpura/9618495,"Consider making your next real estate move in Jaipur thriving Jagatpura area with this inviting 2-bedroom, 2-bathroom Flats, listed for 45 lakh. Offering 1250 square feet of well-designed living space, this semi-furnished unit is located on the first floor of a 6-story building, boasting a convenient road view from its balcony.Youll appreciate the modern amenities designed for a comfortable lifestyle, including"
 Flat ,"3 BHK Flat for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,9800000,4937,1985,3,3,FALSE,Saleable Area,,,1,0,0,0,8,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1985-sq-ft-apartment-in-platinum-amaltas/9551728,"This 3-bedroom, 3-bathroom semi-furnished Flats in Jaipur Vaishali Nagar offers a lifestyle of comfort and convenience for families.Located on the 8th floor of the esteemed Platinum Amaltas project, this spacious 1985 square feet home features a pleasant garden view and adheres to Vastu principles, ensuring a harmonious living environment. Residents will enjoy access to a wide array of amenities including"
 Flat ,"2 BHK Flat for Sale in Mahapura, Jaipur",ajmer road, Mahapura,3700000,4199,881,2,2,FALSE,Saleable Area,1,,0,0,0,0,5,Unfurnished,,,https://www.squareyards.com/resale-2-bhk-881-sq-ft-apartment-in-vardhman-empire-estate/9728263,"Discover a promising investment in Jaipur`s Mahapura area with this unfurnished 2-bedroom, 2-bathroom Flats in Vardhman Empire Estate, now available for sale at 37 Lac.Spanning 881 square feet on the 5th floor of a 14-story building, this property offers a community view and a wealth of amenities designed for a modern lifestyle.Residents can enjoy access to a gymnasium, swimming pool,"
 Flat ,"2 BHK Flat for Sale in Gopalpura, Jaipur",central jaipur, Gopalpura,6500000,6012,1081,2,2,FALSE,Built-up Area,1,,0,0,0,0,3,semi-furnished,Ready To Move,Marble Flooring,https://www.squareyards.com/resale-2-bhk-1081-sq-ft-apartment-in-viraj-kamal-apartment/9463244,"A 2-bedroom furnished Flats in Gopalpura, Jaipur is now available for sale in the Viraj Kamal Flats project, offering a comfortable living space of 1081 square feet on the 3rd floor of a 4-story building.Priced at 65 lakh, this home boasts a road view and comes complete with essential amenities like a gymnasium, kids' play areas, power backup, and 24"
 Flat ,"3 BHK Flat for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,4000000,2797,1430,3,2,FALSE,Saleable Area,1,,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1430-sq-ft-apartment-in-dhanuka-sunshine-symphony/9731041,"3 BHK Ready-to-Move Flats | Sunshine Symphony, Ajmer Road, Jaipur Well-maintained 1430 sq. ft. 3 BHK resale Flats in Sunshine Symphony, Ajmer Road. The flat features 2 washrooms and 2 spacious balconies with good ventilation and natural light. Located in a premium gated community with all modern amenities including clubhouse, gym, landscaped gardens, power backup, parking, and 247 security. Ready"
 Flat ,"2 BHK Flat for Sale in Gandhi Path, Jaipur",gandhi path, Gandhi Path,2300000,3859,596,2,2,FALSE,Built-up Area,2,2,0,0,0,0,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-596-sq-ft-apartment-in-ravi-surya-residency/9440323,"A truly compelling price point of 23 lakh makes this unfurnished 2-bedroom, 2-bathroom Flats in Gandhi Path, Jaipur, an exceptional find for both first-time buyers and smart investors.Situated on the 1st floor of the 14-story Ravi Surya Residency, this 596 square feet home offers a road view and benefits from a safe and secure locality with schools nearby, creating a"
 Flat ,"2 BHK Flat for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,1350000,1473,916,2,2,FALSE,Built-up Area,3,3,0,0,0,0,1,semi-furnished,Ready To Move,Marble Flooring,https://www.squareyards.com/resale-2-bhk-916-sq-ft-apartment-in-omaxe-shubhangan/9508301,"Looking for a smart investment on Jaipur Ajmer Road. This unfurnished 2-bedroom, 2-bathroom Flats in Omaxe Shubhangan offers 916 square feet of living space on the first floor of a three-story building.Priced at just 13.5 lakh, it situated in a peaceful, safe, and secure locality with a wide road access and a lovely park view.The building is 8 to 10 years"
 Flat ,"3 BHK Flat for Sale in Meenawala, Jaipur",gokulpura, Meenawala,4300000,3515,1223,3,2,FALSE,Saleable Area,1,1,0,0,0,0,5,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1223-sq-ft-apartment-in-hanumant-raghunandan-heights/9475517,"This spacious three-bedroom, two-bathroom Flats in Hanumant Raghunandan Heights, Meenawala, Jaipur, offers a great chance for home ownership with its attractive price of 43 lakh.Spread across 1223 square feet on the fifth floor, this semi-furnished home provides a comfortable living space with a pleasant road view and a dedicated parking spot. Residents will appreciate the building commitment to safety and"
 Flat ,"4 BHK Flat for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,16100000,7488,2150,4,3,FALSE,Built-up Area,1,,0,0,0,0,1,semi-furnished,Ready To Move,Marble Flooring,https://www.squareyards.com/resale-4-bhk-2150-sq-ft-apartment-in-vaishali-nagar/9571739,"Embrace a luxurious lifestyle in this semi-furnished 4-bedroom, 3-bathroom Flats located in the sought-after Vaishali Nagar area of Jaipur, now available for sale at 1.61 crore.Spanning a generous 2150 square feet, this home is situated on the first floor of a 6-story building, offering convenient access and a comfortable living experience. Inside, you will find spacious rooms, including a servant"
 Flat ,"3 BHK Flat for Sale in Dadu Dayal Nagar, Jaipur",sanganer, Dadu Dayal Nagar,5959000,4349,1370,3,3,TRUE,Built-up Area,1,,0,0,0,1,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-extra-room-1370-sq-ft-apartment-in-jagdamba-apartments-mansarovar/9772611,"This newly built 3-bedroom, 3-bathroom Flats in Jagdamba Flats Mansarovar, Dadu Dayal Nagar, Jaipur presents a semi-furnished living space spanning 1370 Square Feet.Priced at 59.59 lakh, this home is ideal for families seeking a peaceful vicinity with the backing of a reputed builder, offering value and modern living.The apartment includes a private balcony and one dedicated parking space, ensuring convenience"
 Flat ,"3 BHK Flat for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,6000000,6024,996,3,3,FALSE,Built-up Area,1,1,0,0,0,0,5,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-996-sq-ft-apartment-in-sirsi-road/9618564,Newly built 3bhk flat in a residential society with many great amenities providing convenient access to educational institutions and business centres
 Flat ,"4 BHK Flat for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,16100000,7488,2150,4,3,FALSE,Built-up Area,1,1,0,0,0,0,101,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-4-bhk-2150-sq-ft-apartment-in-vaishali-nagar/9571752,"Project Highlights



All Corner Flats     natural light
Triple Track Windows with Jali modern look  safety
Premium Royal Paint on walls ceilings
Designer Wooden TV Cabinet Dining Interiors

Rooftop Garden  perfect for evening relaxation family gatherings"
 Flat ,"4 BHK Flat for Sale in Mansarovar, Jaipur",mansarovar, Mansarovar,10700000,5584,1916,4,3,FALSE,Built-up Area,1,,0,0,0,0,4,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-4-bhk-1916-sq-ft-apartment-in-mansarovar/9571508,"Consider this semi-furnished 4-bedroom, 3-bathroom Flats in Jaipur Mansarovar area as your next ideal home, priced at 1.07 crore.Spanning 1916 square feet, this fourth-floor residence within a 6-story building offers a peaceful garden view from every window, creating a tranquil atmosphere. With its recent construction, less than a year old, you will benefit from modern design and fresh finishes throughout."
 Flat ,"3 BHK Flat for Sale in Manyawas, Jaipur",mansarovar, Manyawas,8900000,5297,1680,3,3,TRUE,Saleable Area,,,0,1,0,0,3,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-servant-room-1680-sq-ft-apartment-in-balaji-urban-prime/9242203,"A vibrant lifestyle awaits you in this 3-bedroom, 3-bathroom Flats in Jaipur Manyawas locality, part of the Balaji Urban Prime project.Priced at 89 lakh, this semi-furnished 1680 square feet home is situated on the 3rd floor of a 6-story building and offers a pleasant road view from its balcony. You`ll find excellent amenities designed for comfort and recreation, including a"
 Flat ,"3 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,8000000,7662,1044,3,3,FALSE,Carpet Area,,,1,0,0,0,2,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1044-sq-ft-apartment-in-sankalp-24-carat/9253400,"Living a life of comfort and convenience is within reach in Jaipur Jagatpura area with this furnished three-bedroom, three-bathroom Flats in Sankalp 24 Carat, available for sale at 80 lakh. This second-floor unit, spanning 1044 square feet, offers a road view and comes with one dedicated parking space, making daily commutes and errands a breeze.The property, less than a year old,"
 Flat ,"1 BHK Flat for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,2550000,5019,508,1,2,FALSE,Built-up Area,1,,0,0,0,1,Not Available,semi-furnished,Under Construction,Marble Flooring,https://www.squareyards.com/resale-1-bhk-extra-room-508-sq-ft-apartment-in-samanvay-the-amelias/9451237,"A convenient and comfortable lifestyle awaits you on Ajmer Road in Jaipur with this 1-bedroom, 2-bathroom semi-furnished Flats in Samanvay The Amelias, offering a generous 508 square feet of living space for 25.5 lakh.This property, less than a year old, is situated in a prime location, ensuring you are near the city center with quick access to everything you need,"
 Flat ,"2 BHK Flat for Sale in Gandhi Path, Jaipur",gandhi path, Gandhi Path,3000000,3750,800,2,2,FALSE,Built-up Area,1,3,0,0,0,0,Not Available,Furnished,,,https://www.squareyards.com/resale-2-bhk-800-sq-ft-apartment-in-gandhi-path/9428136,"A furnished two-bedroom, two-bathroom Flats in Jaipur Gandhi Path area is ready for new owners, presenting a living space of 800 Square Feet for 30 Lac.This fourth-floor residence, located in a building with four floors, comes with one designated parking spot and is situated in a property that is 8 to 10 years old. Its convenient location in Gandhi Path"
 Flat ,"3 BHK Flat for Sale in Officers Campus Colony, Jaipur",anand nagar, Officers Campus Colony,18000000,9473,1900,3,3,FALSE,Saleable Area,1,,0,0,0,0,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1900-sq-ft-apartment-in-prime/9363984,"Property is located in main vaishali nagar,the prime location of jaipur with high society , three side open buliding ,security guard, security camers, lift, power backup,free reserved car parking,near school, hospital, cinema,mall , 24 hr water,kids play area, natural sun light, rooftop party space, gym, best location with lowest price compairing other buliders with best quality accessories ."
 Flat ,"3 BHK Flat for Sale in Gopalpura, Jaipur",central jaipur, Gopalpura,15000000,8571,1750,3,3,FALSE,Built-up Area,1,1,1,0,0,1,Not Available,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-1750-sq-ft-apartment-in-viraj-kamal-apartment/9280054,3BHK flat for sale Gopalpur by pass ridhi Sidhi chouraha 1750 sqft area fully furnished rate 1.50 cr semi furnished rate 1.37 cr
 Flat ,"3 BHK Flat for Sale in Vardhman Nagar, Jaipur",mansarovar, Vardhman Nagar,10200000,6455,1580,3,3,FALSE,Built-up Area,,,0,0,0,1,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-extra-room-1580-sq-ft-apartment-in-vardhaman-alora/9203035,My project is alora Flats 3 bhk altra luxury apartment full furnished Flats nirman nagar jaipur
 Flat ,"3 BHK Flat for Sale in Adarsh Nagar, Jaipur",central jaipur, Adarsh Nagar,16000000,6666,2400,3,4,FALSE,Built-up Area,1,,1,0,0,0,4,semi-furnished,Under Construction,,https://www.squareyards.com/resale-3-bhk-pooja-room-2400-sq-ft-apartment-in-adarsh-nagar/9225593,Begin your mornings with a cup of tea and the calming view of Jain Mandir. Walk down the road to find out that all the house essentials are available at arms length. With plenty of space for your belongings we have added multiple windows throughout the space to enhance ventilation which is pretty much rare in todays constructions. Checkout for
 Flat ,"2 BHK Flat for Sale in Mansarovar, Jaipur",mansarovar, Mansarovar,3000000,2400,1250,2,2,FALSE,Built-up Area,1,,0,0,0,0,5,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-1250-sq-ft-apartment-in-mansarovar/9826230,"This 1250 square feet, 2-bedroom, 2-bathroom Flats in Mansarovar, Jaipur is available for sale at 30 Lac and offers a peaceful garden view from its 5th-floor position in a 9-story building.The semi-furnished home comes with one dedicated parking space and is suited for buyers looking for a comfortable living space with access to excellent amenities.Residents can take advantage of a"
 Flat ,"3 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,4990000,3685,1354,3,3,FALSE,Built-up Area,1,2,0,0,0,0,2,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1354-sq-ft-apartment-in-divine-homes-jagatpura/9626682,"Welcome to a lifestyle of comfort and security in this furnished 3-bedroom, 3-bathroom Flats located on the second floor of Divine Homes Jagatpura, Jaipur, available for sale at 49.9 Lac.Spanning 1354 square feet, this home offers a pleasant road view and is situated in a gated society with 24/7 security, making it ideal for families and bachelors alike. Enjoy a"
 Flat ,"1 BHK Flat for Sale in Gandhi Path, Jaipur",gandhi path, Gandhi Path,1900000,4470,425,1,1,FALSE,Carpet Area,,,1,0,0,0,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-1-bhk-pooja-room-425-sq-ft-apartment-in-manglam-aadhar/9706482,"A budget-friendly Flats ideal for investors is available for sale in Jaipur's Gandhi Path locality.This unfurnished one-bedroom, one-bathroom apartment is located on the first floor of the twelve-story Manglam Aadhar project, offering 425 square feet of living space.The property, built within the last year by a reputed builder, boasts a road view and excellent ventilation, situated on a wide road"
 Flat ,"3 BHK Flat for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,4681000,3811,1228,3,2,FALSE,Built-up Area,1,1,0,0,0,0,3,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1228-sq-ft-apartment-in-ajmer-road/9237676,"*Ultra Luxurious 2/3 BHK flats*  *   *  *Prominent Features* :-  Price :- 2BHK = 40Lakh(Semi furnished) Price :- 3BHK = 47/49/52Lakh(Semi furnished)  Size :- 2bhk(925sq.ft) Size :- 3bhk(1175sq.ft - 1250sq.ft)On 40 feet RoadReady to moveJDA approved RERA registered90% loanableHigh speed Lift Branded Sanitary & Electric feetings Proper ventilation & Natural lightfully Spacious Reserved Car Parking Amenities like Multipurpose Hall,"
 Flat ,"2 BHK Flat for Sale in Raja Park, Jaipur",central jaipur, Raja Park,4500000,5625,800,2,2,FALSE,Saleable Area,,,0,0,0,0,3,Semi-Furnished,,Marble Flooring,https://www.squareyards.com/resale-2-bhk-800-sq-ft-apartment-in-raja-park/9687011,"2 bhk semi furnished well maintained flat for sale, nearby market, gardens, schools, temples, gurudwara, and other facilities"
 Flat ,"3 BHK Flat for Sale in Shri Kishanpura, Jaipur",shri kishanpura, Shri Kishanpura,5500000,3928,1400,3,2,TRUE,Built-up Area,1,,0,0,0,0,2,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1400-sq-ft-apartment-in-shri-kishanpura/9804979,"This 3-bedroom, 2-bathroom Flats in Shri Kishanpura, Jaipur offers an appealing lifestyle with its array of amenities and desirable features.Priced at 55 lac, this semi-furnished residence spans 1400 square feet and is located on the second floor of a 6-story building, providing a comfortable living space with a road view from its balcony.Built within the last year, the property boasts"
 Flat ,"4 BHK Flat for Sale in Kalwara, Jaipur",other, Kalwara,27000000,10997,2455,4,4,FALSE,Built-up Area,3,,0,1,0,0,Not Available,Furnished,Ready To Move,,https://www.squareyards.com/resale-4-bhk-servant-room-2455-sq-ft-apartment-in-galaxy-enclave-kalwara/9199149,"Seeking a luxurious and safe living space in Jaipur Kalwara area.This furnished four-bedroom, four-bathroom Flats in the Galaxy Enclave Kalwara project is now available for sale at 2.7 crore. Spread across 2455 square feet, this spacious apartment is perfect for families seeking comfort and security within a gated society. It comes with ample parking space for three vehicles, ensuring convenience"
 Flat ,"2 BHK Flat for Sale in Mansarovar, Jaipur",mansarovar, Mansarovar,3100000,3875,800,2,2,FALSE,Built-up Area,2,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-800-sq-ft-apartment-in-mansarovar/9792950,"This 800 square feet, semi-furnished 2-bedroom, 2-bathroom Flats in Mansarovar, Jaipur, is available for sale at 31 lakh.The property includes two dedicated parking spaces, offering excellent convenience for residents.Built within the last 2 to 4 years, it presents a relatively new construction in a well-established locality.This apartment is a sound investment for those looking for a comfortable living space in"
 Flat ,"4 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,12500000,7267,1720,4,4,FALSE,Built-up Area,1,1,1,0,0,1,Not Available,Furnished,Ready To Move,,https://www.squareyards.com/resale-4-bhk-pooja-room-study-room-1720-sq-ft-apartment-in-jagatpura/9722200,"Experience elevated living in this fully furnished 4-bedroom, 4-bathroom Flats located in Jagatpura, Jaipur, available for sale at 1.25 crore and spanning 1720 square feet.This residence offers an impressive array of amenities designed for a sophisticated lifestyle, including a gymnasium, swimming pool, badminton and tennis courts, a squash court, and dedicated kids' play areas.Residents can enjoy a jogging and cycle"
 Flat ,"3 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,6000000,4048,1482,3,2,FALSE,Built-up Area,1,1,0,0,0,0,1,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1482-sq-ft-apartment-in-jagatpura/9202958,"A spacious 3-bedroom, 2-bathroom semi-furnished Flats in Jagatpura, Jaipur, is ready for you at 60 lakh.This 1482 square feet home on the first floor of a 6-story building offers a luxury lifestyle with many desirable features. You will appreciate the Vastu compliant design and the security of a gated society in a safe locality. The apartment boasts a road view"
 Flat ,"2 BHK Flat for Sale in Jaisinghpura, Jaipur",other, Jais,2600000,3915,664,2,2,FALSE,Built-up Area,2,2,1,0,0,0,5,semi-furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-664-sq-ft-apartment-in-govindam-group/9262480,"Welcome to Govindam Group, where thoughtfully designed living meets modern comfort and community. Nestled in prime locations including Sikar Road, Jaisinghpura, and Mansarovar, this project offers 2 BHK Flats crafted for those who seek a balanced life of convenience and serenity.Govindam, where every 2 BHK flat is an embodiment of comfort and smart design. Spread across a flourishing residential enclave"
 Flat ,"3 BHK Flat for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,7618000,5200,1465,3,3,TRUE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1465-sq-ft-apartment-in-vn-exclusive-444/9249676,"For those seeking a well-appointed home in Jaipur Jagatpura area, this semi-furnished 3-bedroom, 3-bathroom Flats in VN Exclusive 444 presents an appealing option at 76.18 lakh.Spanning 1465 square feet, this residence is designed for comfortable living, featuring built-in wardrobes for ample storage and a balcony offering pleasant views, possibly of water as indicated by one amenity. The development boasts an"
